date,TCI,TCI_lead1,HSS_t1_q75,split_flag
2021-08-09,23.732886939380823,23.636191306242736,1,train
2021-08-10,23.636191306242736,23.473666114620087,1,train
2021-08-11,23.473666114620087,23.469830552444822,1,train
2021-08-12,23.469830552444822,23.27744836290173,1,train
2021-08-13,23.27744836290173,23.17494857104633,1,train
2021-08-16,23.17494857104633,23.096489374530226,1,train
2021-08-17,23.096489374530226,23.09300224428556,1,train
2021-08-18,23.09300224428556,23.032423188318493,1,train
2021-08-19,23.032423188318493,23.102462380045864,1,train
2021-08-20,23.102462380045864,23.13994306313063,1,train
2021-08-23,23.13994306313063,23.1342874560294,1,train
2021-08-24,23.1342874560294,23.113679960194947,1,train
2021-08-25,23.113679960194947,23.06639032167913,1,train
2021-08-26,23.06639032167913,23.06051062600609,1,train
2021-08-27,23.06051062600609,22.958945304489816,1,train
2021-08-30,22.958945304489816,22.91372205114689,1,train
2021-08-31,22.91372205114689,22.90206536073658,1,train
2021-09-01,22.90206536073658,22.913653864197197,1,train
2021-09-02,22.913653864197197,22.86309274693156,1,train
2021-09-03,22.86309274693156,22.673390884502428,1,train
2021-09-07,22.673390884502428,22.634623292627182,1,train
2021-09-08,22.634623292627182,22.576095175590968,1,train
2021-09-09,22.576095175590968,22.461277533950256,1,train
2021-09-10,22.461277533950256,22.38794471306388,1,train
2021-09-13,22.38794471306388,22.351837099784465,1,train
2021-09-14,22.351837099784465,22.38230324955953,1,train
2021-09-15,22.38230324955953,22.333547087375752,1,train
2021-09-16,22.333547087375752,22.256135672857035,1,train
2021-09-17,22.256135672857035,22.244045581008333,1,train
2021-09-20,22.244045581008333,22.1960564829907,1,train
2021-09-21,22.1960564829907,22.161122424796208,1,train
2021-09-22,22.161122424796208,22.09818793210712,1,train
2021-09-23,22.09818793210712,21.9653627763763,1,train
2021-09-24,21.9653627763763,22.239123318073727,1,train
2021-09-27,22.239123318073727,22.233508510639087,1,train
2021-09-28,22.233508510639087,21.770056019395646,1,train
2021-09-29,21.770056019395646,21.219303349424656,1,train
2021-09-30,21.219303349424656,21.12513943709793,1,train
2021-10-01,21.12513943709793,21.26742372986015,1,train
2021-10-04,21.26742372986015,21.51457255026642,1,train
2021-10-05,21.51457255026642,21.895889383780208,1,train
2021-10-06,21.895889383780208,21.96070888765842,1,train
2021-10-07,21.96070888765842,21.33503107080109,1,train
2021-10-08,21.33503107080109,21.048328709173006,1,train
2021-10-11,21.048328709173006,21.116889173305,1,train
2021-10-12,21.116889173305,21.09917013612317,1,train
2021-10-13,21.09917013612317,21.00101631797829,1,train
2021-10-14,21.00101631797829,20.763210722727813,1,train
2021-10-15,20.763210722727813,20.69231850006877,1,train
2021-10-18,20.69231850006877,20.739659126071388,1,train
2021-10-19,20.739659126071388,20.651784263905917,1,train
2021-10-20,20.651784263905917,20.632114201382453,1,train
2021-10-21,20.632114201382453,20.589820158990246,1,train
2021-10-22,20.589820158990246,20.41997376677592,1,train
2021-10-25,20.41997376677592,20.374145952301767,1,train
2021-10-26,20.374145952301767,20.36837195923081,1,train
2021-10-27,20.36837195923081,20.43872053593908,1,train
2021-10-28,20.43872053593908,20.240181915642943,1,train
2021-10-29,20.240181915642943,21.255701255932635,1,train
2021-11-01,21.255701255932635,20.815493271575804,1,train
2021-11-02,20.815493271575804,20.659160390308216,1,train
2021-11-03,20.659160390308216,19.879667596334997,1,train
2021-11-04,19.879667596334997,19.885795290187943,1,train
2021-11-05,19.885795290187943,19.80612003712445,1,train
2021-11-08,19.80612003712445,19.7305080546217,1,train
2021-11-09,19.7305080546217,19.81411285441409,1,train
2021-11-10,19.81411285441409,19.91863128468275,1,train
2021-11-12,19.91863128468275,19.902837169057364,1,train
2021-11-15,19.902837169057364,19.8898795587778,1,train
2021-11-18,19.8898795587778,19.8285561920278,1,train
2021-11-19,19.8285561920278,19.706303047115004,1,train
2021-11-22,19.706303047115004,19.71107000891642,1,train
2021-11-23,19.71107000891642,19.65086426115391,1,train
2021-11-24,19.65086426115391,19.732155440616594,1,train
2021-11-29,19.732155440616594,19.66282438315773,1,train
2021-11-30,19.66282438315773,19.71684869535192,1,train
2021-12-01,19.71684869535192,19.62637645746382,1,train
